Date,Time,Bridge
25/07/2015,6,North.bridge
14/08/2015,6,North.bridge
18/08/2015,6,North.bridge
31/08/2015,6,North.bridge
07/09/2015,6,North.bridge
08/07/2015,6,South.bridge
13/07/2015,6,South.bridge
10/08/2015,6,South.bridge
11/08/2015,6,South.bridge
22/08/2015,6,South.bridge
04/09/2015,6,South.bridge
12/12/2015,6,South.bridge
11/09/2015,7,North.bridge
08/03/2015,7,South.bridge
09/12/2015,7,South.bridge
12/12/2015,7,South.bridge
18/08/2015,8,North.bridge
23/08/2015,8,North.bridge
14/09/2015,8,North.bridge
15/09/2015,8,North.bridge
07/03/2015,8,South.bridge
24/07/2015,8,South.bridge
09/12/2015,8,South.bridge
22/03/2015,9,North.bridge
04/05/2014,9,North.bridge
25/08/2015,9,North.bridge
04/09/2015,9,North.bridge
14/06/2015,9,South.bridge
04/12/2015,9,South.bridge
29/06/2015,10,North.bridge
07/09/2015,10,North.bridge
11/09/2015,10,North.bridge
04/01/2015,10,South.bridge
03/07/2015,10,South.bridge
04/10/2015,10,South.bridge
18/03/2015,11,North.bridge
29/06/2015,11,North.bridge
30/08/2015,11,North.bridge
15/09/2015,11,North.bridge
22/09/2015,11,North.bridge
11/12/2015,11,South.bridge
07/09/2015,12,North.bridge
21/08/2015,12,South.bridge
23/09/2015,12,South.bridge
20/07/2015,13,North.bridge
20/07/2015,13,North.bridge
10/09/2015,13,North.bridge
14/09/2015,13,North.bridge
22/09/2015,13,North.bridge
06/03/2015,13,South.bridge
07/03/2015,13,South.bridge
05/01/2015,14,North.bridge
14/06/2015,14,North.bridge
20/07/2015,14,North.bridge
04/08/2015,14,North.bridge
22/08/2015,14,North.bridge
05/09/2015,14,North.bridge
05/09/2015,14,North.bridge
07/09/2015,14,North.bridge
08/09/2015,14,North.bridge
05/03/2015,14,South.bridge
21/06/2015,14,South.bridge
20/07/2015,14,South.bridge
09/10/2015,14,South.bridge
18/07/2015,15,North.bridge
24/07/2015,15,North.bridge
10/08/2015,15,North.bridge
22/08/2015,15,North.bridge
22/08/2015,15,North.bridge
22/08/2015,15,North.bridge
03/09/2015,15,North.bridge
08/09/2015,15,North.bridge
03/07/2015,15,South.bridge
23/07/2015,15,South.bridge
04/08/2015,15,South.bridge
09/08/2015,15,South.bridge
21/08/2015,15,South.bridge
11/12/2015,15,South.bridge
05/03/2015,16,North.bridge
