period,crossing location
before,bridges
before,bridges
before,bridges
before,bridges
before,bridges
before,bridges
before,other locations
before,other locations
before,other locations
before,other locations
after,bridges
after,bridges
after,bridges
after,bridges
after,bridges
after,bridges
after,bridges
after,bridges
after,bridges
after,bridges
after,bridges
after,bridges
after,bridges
after,bridges
after,bridges
after,bridges
after,bridges
after,bridges
after,bridges
after,bridges
after,bridges
after,bridges
after,bridges
after,bridges
after,bridges
after,bridges
after,bridges
after,bridges
after,bridges
after,bridges
after,bridges
after,bridges
after,bridges
after,other locations
after,other locations
after,other locations
after,other locations
after,other locations
after,other locations
after,other locations
after,other locations
after,other locations
