period,Date,crossing.rate
before,3-Mar-13,0.00
before,29-Mar-13,1.32
before,08-Apr-13,0.00
before,11-Apr-13,0.00
before,8-May-13,0.00
before,13-May-13,0.00
before,20-Jun-13,0.00
before,15-Feb-14,0.00
before,24-Apr-14,1.46
before,31-May-14,1.40
before,8-Jun-14,0.00
before,9-Jun-14,1.78
before,10-Jun-14,1.32
before,11-Jun-14,1.30
before,9-Oct-14,0.00
after,15-Feb-15,0.00
after,16-Mar-15,0.00
after,5-Jul-15,2.21
after,6-Jul-15,0.00
after,16-Jul-15,0.00
after,19-Jul-15,1.31
after,21-Jul-15,0.00
after,22-Jul-15,1.36
after,26-Jul-15,1.56
after,27-Jul-15,0.00
after,28-Jul-15,0.00
after,29-Jul-15,2.99
after,30-Jul-15,1.99
after,31-Jul-15,1.10
after,1-Aug-15,0.00
after,2-Aug-15,2.55
after,5-Aug-15,4.18
after,6-Aug-15,2.31
after,7-Aug-15,1.35
after,8-Aug-15,1.13
after,29-Aug-15,1.53
after,25-Sep-15,1.13
after,26-Sep-15,1.13
after,28-Dec-15,0.00
after,3-Jan-16,0.00
after,4-Jan-16,0.00
after,5-Jan-16,0.00
after,6-Jan-16,2.33
after,8-Jan-16,0.00
after,9-Jan-16,0.00
after,30-Jan-16,0.00
after,31-Jan-16,0.00
after,1-Feb-16,1.26
after,27-Feb-16,1.07
after,28-Feb-16,0.00
after,29-Feb-16,0.00
after,5-Mar-16,0.00
after,6-Mar-16,0.00
after,7-Mar-16,1.15
after,8-Mar-16,0.94
after,9-Mar-16,0.00
after,20-Mar-16,0.00
after,10-Apr-16,0.00
after,11-Apr-16,2.26
after,12-Apr-16,0.00
after,3-Jul-16,0.00
after,4-Jul-16,1.39
after,6-Jul-16,2.93
after,11-May-16,1.51
after,14-Jul-16,1.58
after,10-May-16,1.82
after,16-Jul-16,1.94
